Name,Rating,Genre,Release date,Runtime,Director,Budget ($),Revenue ($) ,Url
Solitary Man,58.0,"Comedy,Drama,Romance",10/21/2009 (US),1h 30m,David Levien,"$15,000,000.00","$5,024,782.00",https://www.themoviedb.org//movie/36691
Belfast,61.0,Drama,11/12/2021 (US),1h 37m,Kenneth Branagh,-,-,https://www.themoviedb.org//movie/777270
Tammy,53.0,Comedy,07/03/2014 (US),1h 37m,Ben Falcone,"$20,000,000.00","$100,525,432.00",https://www.themoviedb.org//movie/226486
X-Rated: The Greatest Adult Movies of All Time,58.0,Documentary,02/06/2015 (US),1h 34m,Eli Cross,-,-,https://www.themoviedb.org//movie/324558
Paper Lives,82.0,Drama,03/12/2021 (US),1h 36m,Can Ulkay,Language,-,https://www.themoviedb.org//movie/785534
S.W.A.T.,61.0,"Action,Thriller,Crime",08/08/2003 (US),1h 57m,Robert Hamner,"$80,000,000.00","$116,643,346.00",https://www.themoviedb.org//movie/9257
Batman: Assault on Arkham,74.0,"Thriller,Animation,Action,Crime",08/12/2014 (BR),1h 15m,Jay Oliva,-,"$4,571,025.00",https://www.themoviedb.org//movie/242643
Nussa,67.0,"Animation,Family",10/14/2021 (ID),1h 47m,Bony Wirasmono,-,-,https://www.themoviedb.org//movie/681783
Blood and Bone,74.0,"Action,Drama,Thriller",02/07/2009 (DE),1h 33m,Ben Ramsey,"$3,700,000.00",-,https://www.themoviedb.org//movie/22164
Behind the Trees,56.0,"Horror,Thriller,Mystery",11/21/2019 (US),1h 38m,Vikram Jayakumar,-,-,https://www.themoviedb.org//movie/649524
Jigsaw,62.0,"Horror,Crime,Mystery,Thriller",10/27/2017 (US),1h 32m,Peter Spierig,"$10,000,000.00","$102,952,888.00",https://www.themoviedb.org//movie/298250
High School Musical 3: Senior Year,66.0,"Romance,Comedy,Drama,Family,Music",10/22/2008 (US),1h 57m,Kenny Ortega,"$11,000,000.00","$252,909,177.00",https://www.themoviedb.org//movie/11887
The Village,64.0,"Drama,Mystery,Thriller",09/17/2004 (IN),1h 48m,M. Night Shyamalan,"$60,000,000.00","$256,697,520.00",https://www.themoviedb.org//movie/6947
Cooties,59.0,"Comedy,Horror",10/10/2014 (IN),1h 28m,Ian Brennan,-,"$581,011.00",https://www.themoviedb.org//movie/241843
Michael Jackson: The Life of an Icon,79.0,Documentary,11/02/2011 (US),2h 29m,Andrew Eastel,-,-,https://www.themoviedb.org//movie/78192
From Dusk Till Dawn,70.0,"Horror,Action,Thriller,Crime",01/19/1996 (US),1h 48m,Robert Rodriguez,"$19,000,000.00","$25,836,616.00",https://www.themoviedb.org//movie/755
Bombshell,69.0,"Drama,History",12/20/2019 (US),1h 49m,Jay Roach,"$32,000,000.00","$61,404,394.00",https://www.themoviedb.org//movie/525661
Superman,71.0,"Science Fiction,Action,Adventure",12/14/1978 (US),2h 23m,Mario Puzo,"$55,000,000.00","$300,218,018.00",https://www.themoviedb.org//movie/1924
Step Up Revolution,69.0,"Music,Drama,Romance",07/27/2012 (US),1h 39m,Scott Speer,"$33,000,000.00","$140,470,746.00",https://www.themoviedb.org//movie/85446
[REC]³ Genesis,52.0,Horror,09/07/2012 (US),1h 20m,Paco Plaza,Language,"$6,400,000.00",https://www.themoviedb.org//movie/80280
Mad Max Beyond Thunderdome,62.0,"Action,Adventure,Science Fiction",07/08/1985 (US),1h 47m,George Miller,"$10,000,000.00","$36,230,219.00",https://www.themoviedb.org//movie/9355
Cats & Dogs: The Revenge of Kitty Galore,52.0,"Comedy,Family,Action,Fantasy,Adventure,Mystery",07/30/2010 (US),1h 22m,Brad Peyton,"$85,000,000.00","$112,483,764.00",https://www.themoviedb.org//movie/39691
